Lake,DOY,Days_Deployed,Trap_No,Trap_Location,btm_tss,btm_iss,btm_frac,top_tss,top_iss,top_frac
CE,150,14,16,deep,243.3333333,143.3333333,0.588345865,233.3333333,130,0.557142857
CE,150,14,17,littoral,650,393.3333334,0.606336059,506.6666667,320,0.631323632
CE,150,14,18,littoral,493.3333334,310,0.628584475,296.6666667,140,0.431206089
CE,206,14,16,deep,303.3333333,156.6666667,0.516682786,273.3333334,140,0.5125
CE,206,14,17,littoral,630,403.3333334,0.638932496,423.3333334,260,0.614459326
CE,206,14,18,littoral,500,290,0.576923077,386.6666667,203.3333334,0.527777778
FI,150,14,12,deep,1906.666667,1256.666667,0.659090909,2126.666667,1376.666667,0.647152817
FI,150,14,13,littoral,1460,946.6666667,0.64226944,1663.333334,1066.666667,0.64068187
FI,150,14,14,littoral,2790,1983.333333,0.711066371,2366.666667,1623.333334,0.686244019
FI,205,14,12,deep,2453.333333,1936.666667,0.771577381,2840,2223.333334,0.78288194
FI,205,14,13,littoral,5885,4660,0.791339469,4616.666667,3636.666667,0.787810134
FI,205,14,14,littoral,6940,5600,0.806916427,3040,2375,0.781765261
NT,144,14,7,deep,965,875,0.905144168,615,550,0.895655651
NT,144,14,8,littoral,860,750,0.872093023,966.6666667,566.6666667,0.586206897
NT,207,14,6,littoral,776.6666667,370,0.475612456,,,
NT,207,14,8,littoral,1133.333334,640,0.563874035,,,
SI,151,14,20,littoral,973.3333334,710,0.729917418,683.3333333,480,0.702732293
SI,151,14,21,littoral,1200,923.3333333,0.773875172,1310,1003.333333,0.765846995
SI,206,14,19,deep,1523.333334,1060,0.698322135,1506.666667,1043.333334,0.694366032
SI,206,14,21,littoral,1920,1503.333334,0.784506729,1640,1248.333334,0.760806001
SO,150,14,24,littoral,1833.333334,1386.666667,0.753754609,1416.666667,1143.333334,0.807115649
SO,151,14,23,deep,1100,896.6666667,0.814793726,1040,843.3333334,0.81060014
SO,206,14,23,deep,2823.333333,2390,0.846349957,2810,2343.333333,0.83495066
ST,144,14,10,deep,18795,17695,0.93951394,12455,11290,0.906345422
ST,144,14,11,littoral,7685,7180,0.934288864,10305,9375,0.908416361
ST,211,14,10,deep,13940,10230,0.733467682,8340,6020,0.716310751
ST,211,14,11,littoral,7183.333334,4816.666667,0.668773316,3116.666667,1916.666667,0.612334033
SW,142,14,1,deep,2205,2135,0.967015125,1990,1875,0.937672177
SW,142,14,2,littoral,2485,2355,0.947271782,1315,1260,0.960436893
SW,142,14,3,littoral,2713.333333,2630,0.969483895,2250,2135,0.948657533
SW,142,14,4,littoral,3543.333333,3386.666667,0.968803041,1945,1825,0.938624765
SW,142,14,5,littoral,1910,1810,0.945127953,1599.333333,1532,0.957843229
SW,157,14,1,deep,680,350,0.504578755,640,290,0.45
SW,157,14,2,littoral,1640,1080,0.640101202,1320,820,0.620895523
SW,157,14,3,littoral,6490,5050,0.772295213,700,370,0.521867116
SW,157,14,4,littoral,1170,700,0.599561404,960,470,0.48826087
SW,157,14,5,littoral,710,490,0.688888889,790,510,0.651209678
SW,206,14,1,deep,173.3333334,73.33333333,0.415151516,210,79.99999999,0.364345114
SW,206,14,2,littoral,246.6666667,83.33333333,0.337837838,243.3333334,106.6666667,0.438438438
SW,206,14,3,littoral,396.6666667,123.3333333,0.310310735,203.3333333,93.33333335,0.45934066
SW,206,14,4,littoral,366.6666667,173.3333334,0.45612736,336.6666667,96.66666667,0.283201581
SW,206,14,5,littoral,320,163.3333334,0.510855406,213.3333334,93.33333334,0.428571429
