Year,Lake,ID,Site,Treatment,LAT,LONG,Zone,WaterDepth,HypoDO_mgL,Statified,Hypo_pH,Mcfrac,OM,bd,LooseP,IronP,AlP,LabileOP,PrrTP_mean,PrrTP_sd,TP_ug
2019,Swan,1,10,Oxic,42.03568333,-94.84155,Profundal,3.4,8.86,No,10.17,0.830708661,12.5,1.1002999,50.04552976,NA,NA,NA,-3.1754965,2.678761611,1073.937456
2019,Swan,2,10,Anoxic,42.03568333,-94.84155,Profundal,3.4,8.86,No,10.17,0.830708661,12.5,1.1002999,50.04552976,NA,NA,NA,12.8990095,2.311842488,1073.937456
2019,Swan,3,6,Oxic,42.03821667,-94.84188333,Littoral,2,8.62,No,10.13,0.870831481,12.56454389,1.074692152,55.83164708,NA,NA,NA,-6.055048,1.504825054,1106.167506
2019,Swan,4,6,Anoxic,42.03821667,-94.84188333,Littoral,2,8.62,No,10.13,0.870831481,12.56454389,1.074692152,55.83164708,NA,NA,NA,12.416229,8.644506265,1106.167506
2019,Swan,5,3,Oxic,42.03863333,-94.84473333,Littoral,1.5,9.41,No,10.21,0.738621,11.37931034,1.166242167,16.12168641,NA,NA,NA,4.3024315,10.10759151,715.4602535
2019,Swan,6,3,Anoxic,42.03863333,-94.84473333,Littoral,1.5,9.41,No,10.21,0.738621,11.37931034,1.166242167,16.12168641,NA,NA,NA,11.102761,6.085615517,715.4602535
2019,North Twin,7,1,Oxic,42.47563333,-94.64046667,Profundal,3.7,8.19,No,7.5,0.909092148,24.96733704,1.044219161,93.05985247,109.7770316,27.31083297,NA,1.054395633,0.704545913,1001.409704
2019,North Twin,8,1,Anoxic,42.47563333,-94.64046667,Profundal,3.7,8.19,No,7.5,0.909092148,24.96733704,1.044219161,93.05985247,109.7770316,27.31083297,NA,4.180627633,2.730642504,1001.409704
2019,North Twin,9,10,Oxic,42.47236667,-94.64048333,Littoral,2.9,4.97,No,7.38,0.815343443,15.33816425,1.10644598,76.19056952,NA,NA,NA,2.95142295,1.725970225,810.8793667
2019,North Twin,10,10,Anoxic,42.47236667,-94.64048333,Littoral,2.9,4.97,No,7.38,0.815343443,15.33816425,1.10644598,76.19056952,NA,NA,NA,1.6260097,0.407678738,810.8793667
2019,South Twin,11,1,Oxic,42.45846667,-94.65356667,Profundal,1.7,6.6,No,8,0.846870815,19.44486876,1.082419502,112.4320586,110.2162299,20.87642738,NA,-3.100306667,1.589912783,740.6269858
2019,South Twin,12,1,Anoxic,42.45846667,-94.65356667,Profundal,1.7,6.6,No,8,0.846870815,19.44486876,1.082419502,112.4320586,110.2162299,20.87642738,NA,-0.870557167,1.172770908,740.6269858
2019,South Twin,13,7,Oxic,42.45755,-94.66185,Littoral,1,7.43,No,7.98,0.820995671,18.37968561,1.098792536,104.4263,NA,NA,NA,-1.66259365,0.029292959,787.8358795
2019,South Twin,14,7,Anoxic,42.45755,-94.66185,Littoral,1,7.43,No,7.98,0.820995671,18.37968561,1.098792536,104.4263,NA,NA,NA,0.2393476,2.123363741,787.8358795
2019,Green Valley,15,1,Oxic,41.116783,-94.395133,Littoral,2.6,7,No,9.46,0.758081567,7.010765858,1.160682697,1.819470015,112.299697,208.8987714,148.5706272,-21.3074164,7.758216646,NA
2019,Green Valley,16,1,Anoxic,41.116783,-94.395133,Littoral,2.6,7,No,9.46,0.758081567,7.010765858,1.160682697,1.819470015,112.299697,208.8987714,148.5706272,-1.3449337,2.158708332,NA
2019,Green Valley,17,2,Oxic,41.110783,-94.394633,Littoral,3.6,1.85,No,9.05,0.730493784,5.726960902,1.185321079,1.134162035,115.3636752,175.4096186,70.50162038,-16.6480944,1.783548445,NA
2019,Green Valley,18,2,Anoxic,41.110783,-94.394633,Littoral,3.6,1.85,No,9.05,0.730493784,5.726960902,1.185321079,1.134162035,115.3636752,175.4096186,70.50162038,-4.59021215,3.627217866,NA
2019,Green Valley,19,3,Oxic,41.10345,-94.389383,Littoral,5.9,0.77,Yes,7.57,0.852346216,8.327970568,1.090859395,19.38841799,181.3604837,513.3572635,53.79724054,-30.69745855,13.91512019,NA
2019,Green Valley,20,3,Anoxic,41.10345,-94.389383,Littoral,5.9,0.77,Yes,7.57,0.852346216,8.327970568,1.090859395,19.38841799,181.3604837,513.3572635,53.79724054,-14.2385926,1.600369605,NA
2019,Green Valley,21,4,Oxic,41.098317,-94.383883,Profundal,6.75,0.41,Yes,7.3,0.866264132,7.867071124,1.082039237,24.39682525,190.6743633,542.9711861,32.96884972,-29.2458761,2.600345448,NA
2019,Green Valley,22,4,Anoxic,41.098317,-94.383883,Profundal,6.75,0.41,Yes,7.3,0.866264132,7.867071124,1.082039237,24.39682525,190.6743633,542.9711861,32.96884972,-7.41854715,0.452787271,NA
2019,Green Valley,23,5,Oxic,41.105983,-94.38205,Littoral,4.5,0.77,Yes,8.16,0.835290876,7.898435795,1.102966485,12.19496679,141.6908234,319.2557468,106.2758177,-5.8945656,19.71491855,NA
2019,Green Valley,24,5,Anoxic,41.105983,-94.38205,Littoral,4.5,0.77,Yes,8.16,0.835290876,7.898435795,1.102966485,12.19496679,141.6908234,319.2557468,106.2758177,-8.62439625,1.300304105,NA
2019,Green Valley,25,6,Oxic,41.10945,-94.380067,Littoral,2.6,4.8,No,9.34,0.7017568,8.983858999,1.200533376,0.108745869,49.87046443,144.7188639,74.13639569,-20.01324175,2.465142884,NA
2019,Green Valley,26,6,Anoxic,41.10945,-94.380067,Littoral,2.6,4.8,No,9.34,0.7017568,8.983858999,1.200533376,0.108745869,49.87046443,144.7188639,74.13639569,-10.5345346,5.824518035,NA
