lake,p_form,concentration,TP,SD,SEM
aStorm,redox,230.02312,738.2,29.5,9.328719097
aStorm,organic,305.68862,738.2,29.5,9.328719097
aStorm,loose,72.93416,738.2,29.5,9.328719097
aStorm,al,51.00962,738.2,29.5,9.328719097
aStorm,ca,78.54448,738.2,29.5,9.328719097
bSilver,redox,213.61565,936.5,97,30.6740933
bSilver,organic,368.2318,936.5,97,30.6740933
bSilver,loose,204.06335,936.5,97,30.6740933
bSilver,al,70.2375,936.5,97,30.6740933
bSilver,ca,80.3517,936.5,97,30.6740933
Center,redox,229.41435,938.3,119.4,37.75759526
Center,organic,500.20773,938.3,119.4,37.75759526
Center,loose,72.71825,938.3,119.4,37.75759526
Center,al,65.86866,938.3,119.4,37.75759526
Center,ca,70.09101,938.3,119.4,37.75759526
dSouthTwin,redox,110.90771,939.1,113.1,35.76536034
dSouthTwin,organic,661.87768,939.1,113.1,35.76536034
dSouthTwin,loose,113.53719,939.1,113.1,35.76536034
dSouthTwin,al,18.40636,939.1,113.1,35.76536034
dSouthTwin,ca,34.18324,939.1,113.1,35.76536034
eFiveIsland,redox,307.0905,1013.5,160.9,50.88104755
eFiveIsland,organic,415.535,1013.5,160.9,50.88104755
eFiveIsland,loose,152.4304,1013.5,160.9,50.88104755
eFiveIsland,al,83.20835,1013.5,160.9,50.88104755
eFiveIsland,ca,55.1344,1013.5,160.9,50.88104755
fNorthTwin,redox,109.10042,1134.1,288.3,91.16846494
fNorthTwin,organic,848.42021,1134.1,288.3,91.16846494
fNorthTwin,loose,121.80234,1134.1,288.3,91.16846494
fNorthTwin,al,31.64139,1134.1,288.3,91.16846494
fNorthTwin,ca,23.13564,1134.1,288.3,91.16846494
gSwan,redox,414.40026,1164.7,306.2,96.82894195
gSwan,organic,583.98058,1164.7,306.2,96.82894195
gSwan,loose,36.80452,1164.7,306.2,96.82894195
gSwan,al,113.20884,1164.7,306.2,96.82894195
gSwan,ca,16.3058,1164.7,306.2,96.82894195
